cue_type	current_mean_accuracy	duration	duration_error	is_hit	isi_adjusted	onset	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	index
Lose2	0.7857	0.15	0.004	No	2.833	266.413	-0.004	2.0	NoResponse	-1	0.196	266.609	4	27	Target	Loss	n/a
Lose2	0.7857	0.55	n/a	No	2.833	266.564	n/a	n/a	NoResponse	-1	n/a	n/a	4	27	Blank	Loss	n/a
Lose2	0.7857	0.3	0.004	No	2.833	266.609	-0.004	2.0	NoResponse	-1	0.196	n/a	4	27	ButtonPress	Loss	164.0
Lose2	0.7857	1.45	n/a	No	2.833	267.116	n/a	5.0	NoResponse	-1	0.005	267.121	4	27	Feedback	Loss	n/a
Lose2	0.7857	2.833	n/a	No	2.833	268.57	n/a	n/a	NoResponse	-1	0.0	n/a	4	27	ISIslide	Loss	n/a
Control	0.7585999999999999	0.25	0.001	No	2.822	271.428	0.028	n/a	NoResponse	0	n/a	n/a	4	28	Cue	Neutral	n/a
Control	0.7585999999999999	4.05	0.0	No	2.822	271.679	0.001	2.0	NoResponse	0	3.955	275.634	4	28	Fixation	Neutral	n/a
Control	0.7585999999999999	0.3	0.0	No	2.822	275.634	0.001	2.0	NoResponse	0	3.955	n/a	4	28	ButtonPress	Neutral	169.0
Control	0.7585999999999999	0.15	0.003	No	2.822	275.725	-0.003	n/a	NoResponse	0	n/a	n/a	4	28	Target	Neutral	n/a
Control	0.7585999999999999	0.55	n/a	No	2.822	275.875	n/a	n/a	NoResponse	0	n/a	n/a	4	28	Blank	Neutral	n/a
Control	0.7585999999999999	1.45	n/a	No	2.822	276.427	n/a	5.0	NoResponse	0	0.009	276.436	4	28	Feedback	Neutral	n/a
Control	0.7585999999999999	2.822	n/a	No	2.822	277.881	n/a	n/a	NoResponse	0	0.0	n/a	4	28	ISIslide	Neutral	n/a
Lose2	0.7333	0.25	0.0	No	2.827	280.723	0.023	n/a	NoResponse	-1	n/a	n/a	3	29	Cue	Loss	n/a
Lose2	0.7333	3.95	0.0	No	2.827	280.974	0.001	n/a	NoResponse	-1	n/a	n/a	3	29	Fixation	Loss	n/a
Lose2	0.7333	0.15	0.004	No	2.827	284.919	-0.004	n/a	NoResponse	-1	n/a	n/a	3	29	Target	Loss	n/a
Lose2	0.7333	0.55	n/a	No	2.827	285.069	n/a	n/a	NoResponse	-1	n/a	n/a	3	29	Blank	Loss	n/a
Lose2	0.7333	1.45	n/a	No	2.827	285.621	n/a	5.0	NoResponse	-1	0.035	285.656	3	29	Feedback	Loss	n/a
Lose2	0.7333	2.827	n/a	No	2.827	287.075	n/a	n/a	NoResponse	-1	0.0	n/a	3	29	ISIslide	Loss	n/a
Win2	0.7097	0.25	0.0	No	2.783	289.917	0.017	n/a	NoResponse	0	n/a	n/a	3	30	Cue	MissedWin	n/a
Win2	0.7097	3.9	0.0	No	2.783	290.168	0.001	n/a	NoResponse	0	n/a	n/a	3	30	Fixation	MissedWin	n/a
Win2	0.7097	0.15	0.004	No	2.783	294.063	-0.004	2.0	NoResponse	0	0.196	294.259	3	30	Target	MissedWin	n/a
Win2	0.7097	0.55	n/a	No	2.783	294.213	n/a	n/a	NoResponse	0	n/a	n/a	3	30	Blank	MissedWin	n/a
Win2	0.7097	0.3	0.004	No	2.783	294.259	-0.004	2.0	NoResponse	0	0.196	n/a	3	30	ButtonPress	MissedWin	182.0
Win2	0.7097	1.45	n/a	No	2.783	294.765	n/a	5.0	NoResponse	0	0.012	294.777	3	30	Feedback	MissedWin	n/a
Win2	0.7097	2.783	n/a	No	2.783	296.219	n/a	n/a	NoResponse	0	0.0	n/a	3	30	ISIslide	MissedWin	n/a
Lose2	0.6875	0.25	0.0	No	2.822	299.028	0.028	n/a	NoResponse	-1	n/a	n/a	2	31	Cue	Loss	n/a
Lose2	0.6875	4.05	0.0	No	2.822	299.278	0.0	n/a	NoResponse	-1	n/a	n/a	2	31	Fixation	Loss	n/a
Lose2	0.6875	0.15	0.004	No	2.822	303.324	-0.004	2.0	NoResponse	-1	0.174	303.498	2	31	Target	Loss	n/a
Lose2	0.6875	0.55	n/a	No	2.822	303.474	n/a	n/a	NoResponse	-1	n/a	n/a	2	31	Blank	Loss	n/a
Lose2	0.6875	0.3	0.004	No	2.822	303.498	-0.004	2.0	NoResponse	-1	0.174	n/a	2	31	ButtonPress	Loss	188.0
Lose2	0.6875	1.45	n/a	No	2.822	304.026	n/a	5.0	NoResponse	-1	0.019	304.045	2	31	Feedback	Loss	n/a
Lose2	0.6875	2.822	n/a	No	2.822	305.48	n/a	n/a	NoResponse	-1	0.0	n/a	2	31	ISIslide	Loss	n/a
Lose2	0.6667000000000001	0.25	0.0	No	2.628	308.322	0.022	n/a	NoResponse	-1	n/a	n/a	1	32	Cue	Loss	n/a
Lose2	0.6667000000000001	4.15	0.0	No	2.628	308.573	0.001	n/a	NoResponse	-1	n/a	n/a	1	32	Fixation	Loss	n/a
Lose2	0.6667000000000001	0.15	0.003	No	2.628	312.719	-0.003	1.0	NoResponse	-1	0.184	312.903	1	32	Target	Loss	n/a
Lose2	0.6667000000000001	0.55	n/a	No	2.628	312.869	n/a	n/a	NoResponse	-1	n/a	n/a	1	32	Blank	Loss	n/a
Lose2	0.6667000000000001	0.3	0.003	No	2.628	312.903	-0.003	1.0	NoResponse	-1	0.184	n/a	1	32	ButtonPress	Loss	194.0
Lose2	0.6667000000000001	1.45	n/a	No	2.628	313.421	n/a	5.0	NoResponse	-1	0.039	313.46	1	32	Feedback	Loss	n/a
Lose2	0.6667000000000001	2.628	n/a	No	2.628	314.875	n/a	n/a	NoResponse	-1	0.0	n/a	1	32	ISIslide	Loss	n/a
Win2	0.6470999999999999	0.25	0.0	No	2.684	317.516	0.016	n/a	NoResponse	0	n/a	n/a	1	33	Cue	MissedWin	n/a
Win2	0.6470999999999999	4.0	0.0	No	2.684	317.767	0.001	n/a	NoResponse	0	n/a	n/a	1	33	Fixation	MissedWin	n/a
Win2	0.6470999999999999	0.15	0.004	No	2.684	321.762	-0.004	2.0	NoResponse	0	0.178	321.94	1	33	Target	MissedWin	n/a
Win2	0.6470999999999999	0.55	n/a	No	2.684	321.913	n/a	n/a	NoResponse	0	n/a	n/a	1	33	Blank	MissedWin	n/a
Win2	0.6470999999999999	0.3	0.004	No	2.684	321.94	-0.004	2.0	NoResponse	0	0.178	n/a	1	33	ButtonPress	MissedWin	200.0
Win2	0.6470999999999999	1.45	n/a	No	2.684	322.464	n/a	5.0	NoResponse	0	0.021	322.485	1	33	Feedback	MissedWin	n/a
Win2	0.6470999999999999	2.684	n/a	No	2.684	323.919	n/a	n/a	NoResponse	0	0.0	n/a	1	33	ISIslide	MissedWin	n/a
Lose2	0.6286	0.25	0.0	No	2.623	326.627	0.027	n/a	NoResponse	-1	n/a	n/a	0	34	Cue	Loss	n/a
Lose2	0.6286	4.05	0.0	No	2.623	326.878	0.001	n/a	NoResponse	-1	n/a	n/a	0	34	Fixation	Loss	n/a
Lose2	0.6286	0.16	0.004	No	2.623	330.923	-0.004	2.0	NoResponse	-1	0.175	331.098	0	34	Target	Loss	n/a
Lose2	0.6286	0.54	n/a	No	2.623	331.09	n/a	n/a	NoResponse	-1	n/a	n/a	0	34	Blank	Loss	n/a
Lose2	0.6286	0.3	0.004	No	2.623	331.098	-0.004	2.0	NoResponse	-1	0.175	n/a	0	34	ButtonPress	Loss	206.0
Lose2	0.6286	1.45	n/a	No	2.623	331.625	n/a	5.0	NoResponse	-1	0.031	331.656	0	34	Feedback	Loss	n/a
Lose2	0.6286	2.623	n/a	No	2.623	333.079	n/a	n/a	NoResponse	-1	0.0	n/a	0	34	ISIslide	Loss	n/a
Lose2	0.6111	0.25	0.0	No	2.679	335.721	0.021	n/a	NoResponse	-1	n/a	n/a	-1	35	Cue	Loss	n/a
Lose2	0.6111	4.0	0.001	No	2.679	335.971	0.0	n/a	NoResponse	-1	n/a	n/a	-1	35	Fixation	Loss	n/a
Lose2	0.6111	0.17	0.004	No	2.679	339.967	-0.004	2.0	NoResponse	-1	0.306	340.273	-1	35	Target	Loss	n/a
Lose2	0.6111	0.53	n/a	No	2.679	340.151	n/a	n/a	NoResponse	-1	n/a	n/a	-1	35	Blank	Loss	n/a
Lose2	0.6111	0.3	0.004	No	2.679	340.273	-0.004	2.0	NoResponse	-1	0.306	n/a	-1	35	ButtonPress	Loss	212.0
Lose2	0.6111	1.45	n/a	No	2.679	340.669	n/a	5.0	NoResponse	-1	0.01	340.679	-1	35	Feedback	Loss	n/a
Lose2	0.6111	2.679	n/a	No	2.679	342.123	n/a	n/a	NoResponse	-1	0.0	n/a	-1	35	ISIslide	Loss	n/a
Control	0.6215999999999999	0.25	0.0	Yes	2.685	344.815	0.015	n/a	GoodResponse	0	n/a	n/a	-1	36	Cue	Neutral	n/a
Control	0.6215999999999999	4.0	0.0	Yes	2.685	345.065	0.0	n/a	GoodResponse	0	n/a	n/a	-1	36	Fixation	Neutral	n/a
Control	0.6215999999999999	0.18	0.004	Yes	2.685	349.061	-0.004	2.0	GoodResponse	0	0.169	349.23	-1	36	Target	Neutral	n/a
Control	0.6215999999999999	0.3	0.004	Yes	2.685	349.23	-0.004	2.0	GoodResponse	0	0.169	n/a	-1	36	ButtonPress	Neutral	218.0
Control	0.6215999999999999	0.52	n/a	Yes	2.685	349.244	n/a	n/a	GoodResponse	0	n/a	n/a	-1	36	Blank	Neutral	n/a
Control	0.6215999999999999	1.45	n/a	Yes	2.685	349.763	n/a	5.0	GoodResponse	0	0.038	349.801	-1	36	Feedback	Neutral	n/a
Control	0.6215999999999999	2.685	n/a	Yes	2.685	351.217	n/a	n/a	GoodResponse	0	0.0	n/a	-1	36	ISIslide	Neutral	n/a
Win2	0.6315999999999999	0.25	0.0	Yes	2.875	353.925	0.025	n/a	GoodResponse	1	n/a	n/a	0	37	Cue	Win	n/a
Win2	0.6315999999999999	4.0	0.0	Yes	2.875	354.176	0.001	n/a	GoodResponse	1	n/a	n/a	0	37	Fixation	Win	n/a
Win2	0.6315999999999999	0.19	0.004	Yes	2.875	358.171	-0.004	2.0	GoodResponse	1	0.168	358.339	0	37	Target	Win	n/a
Win2	0.6315999999999999	0.3	0.004	Yes	2.875	358.339	-0.004	2.0	GoodResponse	1	0.168	n/a	0	37	ButtonPress	Win	224.0
Win2	0.6315999999999999	0.51	n/a	Yes	2.875	358.372	n/a	n/a	GoodResponse	1	n/a	n/a	0	37	Blank	Win	n/a
Win2	0.6315999999999999	1.45	n/a	Yes	2.875	358.873	n/a	5.0	GoodResponse	1	0.001	358.874	0	37	Feedback	Win	n/a
Win2	0.6315999999999999	2.875	n/a	Yes	2.875	360.328	n/a	n/a	GoodResponse	1	0.0	n/a	0	37	ISIslide	Win	n/a
Lose2	0.6409999999999999	0.25	0.0	Yes	2.83	363.22	0.02	n/a	GoodResponse	0	n/a	n/a	0	38	Cue	AvoidedLoss	n/a
Lose2	0.6409999999999999	3.95	0.0	Yes	2.83	363.47	0.0	n/a	GoodResponse	0	n/a	n/a	0	38	Fixation	AvoidedLoss	n/a
Lose2	0.6409999999999999	0.2	0.005	Yes	2.83	367.415	-0.005	2.0	GoodResponse	0	0.175	367.59	0	38	Target	AvoidedLoss	n/a
Lose2	0.6409999999999999	0.3	0.005	Yes	2.83	367.59	-0.005	2.0	GoodResponse	0	0.175	n/a	0	38	ButtonPress	AvoidedLoss	230.0
Lose2	0.6409999999999999	0.5	n/a	Yes	2.83	367.616	n/a	n/a	GoodResponse	0	n/a	n/a	0	38	Blank	AvoidedLoss	n/a
Lose2	0.6409999999999999	1.45	n/a	Yes	2.83	368.118	n/a	5.0	GoodResponse	0	0.025	368.143	0	38	Feedback	AvoidedLoss	n/a
Lose2	0.6409999999999999	2.83	n/a	Yes	2.83	369.572	n/a	n/a	GoodResponse	0	0.0	n/a	0	38	ISIslide	AvoidedLoss	n/a
Win2	0.65	0.25	0.001	Yes	2.97	372.43	0.03	n/a	GoodResponse	1	n/a	n/a	1	39	Cue	Win	n/a
Win2	0.65	4.1	0.0	Yes	2.97	372.681	0.001	n/a	GoodResponse	1	n/a	n/a	1	39	Fixation	Win	n/a
Win2	0.65	0.21	0.003	Yes	2.97	376.777	-0.003	2.0	GoodResponse	1	0.165	376.942	1	39	Target	Win	n/a
Win2	0.65	0.3	0.003	Yes	2.97	376.942	-0.003	2.0	GoodResponse	1	0.165	n/a	1	39	ButtonPress	Win	236.0
Win2	0.65	0.49	n/a	Yes	2.97	376.994	n/a	n/a	GoodResponse	1	n/a	n/a	1	39	Blank	Win	n/a
Win2	0.65	1.45	n/a	Yes	2.97	377.479	n/a	5.0	GoodResponse	1	0.03	377.509	1	39	Feedback	Win	n/a
Win2	0.65	2.97	n/a	Yes	2.97	378.933	n/a	n/a	GoodResponse	1	0.0	n/a	1	39	ISIslide	Win	n/a
Win2	0.6585	0.25	0.0	Yes	2.724	381.926	0.026	n/a	GoodResponse	1	n/a	n/a	2	40	Cue	Win	n/a
Win2	0.6585	3.95	0.0	Yes	2.724	382.176	0.0	n/a	GoodResponse	1	n/a	n/a	2	40	Fixation	Win	n/a
Win2	0.6585	0.22	0.0	Yes	2.724	386.138	0.012	2.0	GoodResponse	1	0.175	386.313	2	40	Target	Win	n/a
Win2	0.6585	0.3	0.0	Yes	2.724	386.313	0.012	2.0	GoodResponse	1	0.175	n/a	2	40	ButtonPress	Win	242.0
Win2	0.6585	0.48	n/a	Yes	2.724	386.355	n/a	n/a	GoodResponse	1	n/a	n/a	2	40	Blank	Win	n/a
Win2	0.6585	1.45	n/a	Yes	2.724	386.824	n/a	5.0	GoodResponse	1	0.001	386.825	2	40	Feedback	Win	n/a
Win2	0.6585	2.724	n/a	Yes	2.724	388.278	n/a	n/a	GoodResponse	1	0.0	n/a	2	40	ISIslide	Win	n/a
Win2	0.6667000000000001	0.25	0.0	Yes	2.781	391.019	0.019	n/a	GoodResponse	1	n/a	n/a	3	41	Cue	Win	n/a
Win2	0.6667000000000001	3.9	0.0	Yes	2.781	391.27	0.001	n/a	GoodResponse	1	n/a	n/a	3	41	Fixation	Win	n/a
Win2	0.6667000000000001	0.22	0.004	Yes	2.781	395.165	-0.004	2.0	GoodResponse	1	0.179	395.344	3	41	Target	Win	n/a
Win2	0.6667000000000001	0.3	0.004	Yes	2.781	395.344	-0.004	2.0	GoodResponse	1	0.179	n/a	3	41	ButtonPress	Win	248.0
Win2	0.6667000000000001	0.48	n/a	Yes	2.781	395.399	n/a	n/a	GoodResponse	1	n/a	n/a	3	41	Blank	Win	n/a
Win2	0.6667000000000001	1.45	n/a	Yes	2.781	395.867	n/a	5.0	GoodResponse	1	0.031	395.898	3	41	Feedback	Win	n/a
Win2	0.6667000000000001	2.781	n/a	Yes	2.781	397.322	n/a	n/a	GoodResponse	1	0.0	n/a	3	41	ISIslide	Win	n/a
Control	0.6744	0.25	0.0	Yes	2.92	400.13	0.03	n/a	GoodResponse	0	n/a	n/a	3	42	Cue	Neutral	n/a
Control	0.6744	3.85	0.0	Yes	2.92	400.381	0.001	n/a	GoodResponse	0	n/a	n/a	3	42	Fixation	Neutral	n/a
Control	0.6744	0.21	0.004	Yes	2.92	404.226	-0.004	2.0	GoodResponse	0	0.181	404.407	3	42	Target	Neutral	n/a
Control	0.6744	0.3	0.004	Yes	2.92	404.407	-0.004	2.0	GoodResponse	0	0.181	n/a	3	42	ButtonPress	Neutral	254.0
Control	0.6744	0.49	n/a	Yes	2.92	404.443	n/a	n/a	GoodResponse	0	n/a	n/a	3	42	Blank	Neutral	n/a
Control	0.6744	1.45	n/a	Yes	2.92	404.928	n/a	5.0	GoodResponse	0	0.043	404.971	3	42	Feedback	Neutral	n/a
Control	0.6744	2.92	n/a	Yes	2.92	406.382	n/a	n/a	GoodResponse	0	0.0	n/a	3	42	ISIslide	Neutral	n/a
Win2	0.6818000000000001	0.25	0.0	Yes	3.176	409.324	0.024	n/a	GoodResponse	1	n/a	n/a	4	43	Cue	Win	n/a
Win2	0.6818000000000001	4.0	0.0	Yes	3.176	409.575	0.001	n/a	GoodResponse	1	n/a	n/a	4	43	Fixation	Win	n/a
Win2	0.6818000000000001	0.2	0.004	Yes	3.176	413.57	-0.004	2.0	GoodResponse	1	0.169	413.739	4	43	Target	Win	n/a
Win2	0.6818000000000001	0.3	0.004	Yes	3.176	413.739	-0.004	2.0	GoodResponse	1	0.169	n/a	4	43	ButtonPress	Win	260.0
Win2	0.6818000000000001	0.5	n/a	Yes	3.176	413.771	n/a	n/a	GoodResponse	1	n/a	n/a	4	43	Blank	Win	n/a
Win2	0.6818000000000001	1.45	n/a	Yes	3.176	414.272	n/a	5.0	GoodResponse	1	0.017	414.289	4	43	Feedback	Win	n/a
Win2	0.6818000000000001	3.176	n/a	Yes	3.176	415.727	n/a	n/a	GoodResponse	1	0.0	n/a	4	43	ISIslide	Win	n/a
Win2	0.6667000000000001	0.25	0.001	No	2.981	418.919	0.019	n/a	NoResponse	0	n/a	n/a	4	44	Cue	MissedWin	n/a
Win2	0.6667000000000001	4.0	0.0	No	2.981	419.17	0.001	n/a	NoResponse	0	n/a	n/a	4	44	Fixation	MissedWin	n/a
Win2	0.6667000000000001	0.19	0.004	No	2.981	423.165	-0.004	2.0	NoResponse	0	0.209	423.374	4	44	Target	MissedWin	n/a
Win2	0.6667000000000001	0.51	n/a	No	2.981	423.366	n/a	n/a	NoResponse	0	n/a	n/a	4	44	Blank	MissedWin	n/a
Win2	0.6667000000000001	0.3	0.004	No	2.981	423.374	-0.004	2.0	NoResponse	0	0.209	n/a	4	44	ButtonPress	MissedWin	266.0
Win2	0.6667000000000001	1.45	n/a	No	2.981	423.868	n/a	5.0	NoResponse	0	0.029	423.897	4	44	Feedback	MissedWin	n/a
Win2	0.6667000000000001	2.981	n/a	No	2.981	425.322	n/a	n/a	NoResponse	0	0.0	n/a	4	44	ISIslide	MissedWin	n/a
Control	0.6739	0.25	0.0	Yes	2.886	428.314	0.014	n/a	GoodResponse	0	n/a	n/a	4	45	Cue	Neutral	n/a
Control	0.6739	4.1	0.0	Yes	2.886	428.565	0.001	n/a	GoodResponse	0	n/a	n/a	4	45	Fixation	Neutral	n/a
Control	0.6739	0.18	0.003	Yes	2.886	432.661	-0.003	2.0	GoodResponse	0	0.174	432.835	4	45	Target	Neutral	n/a
Control	0.6739	0.3	0.003	Yes	2.886	432.835	-0.003	2.0	GoodResponse	0	0.174	n/a	4	45	ButtonPress	Neutral	272.0
Control	0.6739	0.52	n/a	Yes	2.886	432.844	n/a	n/a	GoodResponse	0	n/a	n/a	4	45	Blank	Neutral	n/a
Control	0.6739	1.45	n/a	Yes	2.886	433.363	n/a	5.0	GoodResponse	0	0.047	433.41	4	45	Feedback	Neutral	n/a
Control	0.6739	2.886	n/a	Yes	2.886	434.817	n/a	n/a	GoodResponse	0	0.0	n/a	4	45	ISIslide	Neutral	n/a
Lose2	0.6596	0.25	0.0	No	3.374	437.726	0.026	n/a	LatePress	-1	n/a	n/a	3	46	Cue	Loss	n/a
Lose2	0.6596	4.0	0.001	No	3.374	437.976	0.0	n/a	LatePress	-1	n/a	n/a	3	46	Fixation	Loss	n/a
Lose2	0.6596	0.17	0.004	No	3.374	441.972	-0.004	2.0	LatePress	-1	0.173	442.145	3	46	Target	Loss	n/a
Lose2	0.6596	0.3	0.004	No	3.374	442.145	-0.004	2.0	LatePress	-1	0.173	n/a	3	46	ButtonPress	Loss	278.0
Lose2	0.6596	0.53	n/a	No	3.374	442.156	n/a	n/a	LatePress	-1	n/a	n/a	3	46	Blank	Loss	n/a
Lose2	0.6596	1.45	n/a	No	3.374	442.674	n/a	5.0	LatePress	-1	0.007	442.681	3	46	Feedback	Loss	n/a
Lose2	0.6596	3.374	n/a	No	3.374	444.128	n/a	n/a	LatePress	-1	0.0	n/a	3	46	ISIslide	Loss	n/a
Lose2	0.6457999999999999	0.25	0.0	No	2.678	447.522	0.022	n/a	LatePress	-1	n/a	n/a	2	47	Cue	Loss	n/a
Lose2	0.6457999999999999	4.0	0.001	No	2.678	447.772	0.0	n/a	LatePress	-1	n/a	n/a	2	47	Fixation	Loss	n/a
Lose2	0.6457999999999999	0.17	0.004	No	2.678	451.768	-0.004	2.0	LatePress	-1	0.182	451.95	2	47	Target	Loss	n/a
Lose2	0.6457999999999999	0.3	0.004	No	2.678	451.95	-0.004	2.0	LatePress	-1	0.182	n/a	2	47	ButtonPress	Loss	284.0
Lose2	0.6457999999999999	0.53	n/a	No	2.678	451.952	n/a	n/a	LatePress	-1	n/a	n/a	2	47	Blank	Loss	n/a
Lose2	0.6457999999999999	1.45	n/a	No	2.678	452.47	n/a	5.0	LatePress	-1	0.013	452.483	2	47	Feedback	Loss	n/a
Lose2	0.6457999999999999	2.678	n/a	No	2.678	453.924	n/a	n/a	LatePress	-1	0.0	n/a	2	47	ISIslide	Loss	n/a
Lose2	0.6327	0.25	0.0	No	3.034	456.616	0.016	n/a	NoResponse	-1	n/a	n/a	1	48	Cue	Loss	n/a
Lose2	0.6327	3.95	0.0	No	3.034	456.866	0.0	n/a	NoResponse	-1	n/a	n/a	1	48	Fixation	Loss	n/a
Lose2	0.6327	0.18	0.0	No	3.034	460.828	0.012	2.0	NoResponse	-1	0.175	461.003	1	48	Target	Loss	n/a
Lose2	0.6327	0.52	n/a	No	3.034	460.995	n/a	n/a	NoResponse	-1	n/a	n/a	1	48	Blank	Loss	n/a
Lose2	0.6327	0.3	0.0	No	3.034	461.003	0.012	2.0	NoResponse	-1	0.175	n/a	1	48	ButtonPress	Loss	290.0
Lose2	0.6327	1.45	n/a	No	3.034	461.513	n/a	5.0	NoResponse	-1	0.043	461.556	1	48	Feedback	Loss	n/a
Lose2	0.6327	3.034	n/a	No	3.034	462.968	n/a	n/a	NoResponse	-1	0.0	n/a	1	48	ISIslide	Loss	n/a
Control	0.64	0.25	0.0	Yes	2.873	466.027	0.027	n/a	GoodResponse	0	n/a	n/a	1	49	Cue	Neutral	n/a
Control	0.64	4.0	0.0	Yes	2.873	466.278	0.001	n/a	GoodResponse	0	n/a	n/a	1	49	Fixation	Neutral	n/a
Control	0.64	0.19	0.004	Yes	2.873	470.273	-0.004	2.0	GoodResponse	0	0.181	470.454	1	49	Target	Neutral	n/a
Control	0.64	0.3	0.004	Yes	2.873	470.454	-0.004	2.0	GoodResponse	0	0.181	n/a	1	49	ButtonPress	Neutral	296.0
Control	0.64	0.51	n/a	Yes	2.873	470.474	n/a	n/a	GoodResponse	0	n/a	n/a	1	49	Blank	Neutral	n/a
Control	0.64	1.45	n/a	Yes	2.873	470.975	n/a	5.0	GoodResponse	0	0.044	471.019	1	49	Feedback	Neutral	n/a
Control	0.64	2.873	n/a	Yes	2.873	472.429	n/a	n/a	GoodResponse	0	0.0	n/a	1	49	ISIslide	Neutral	n/a
Control	0.6470999999999999	0.25	0.001	Yes	2.779	475.321	0.021	n/a	GoodResponse	0	n/a	n/a	1	50	Cue	Neutral	n/a
Control	0.6470999999999999	4.0	0.0	Yes	2.779	475.572	0.001	n/a	GoodResponse	0	n/a	n/a	1	50	Fixation	Neutral	n/a
Control	0.6470999999999999	0.2	0.004	Yes	2.779	479.567	-0.004	2.0	GoodResponse	0	0.18	479.747	1	50	Target	Neutral	n/a
Control	0.6470999999999999	0.3	0.004	Yes	2.779	479.747	-0.004	2.0	GoodResponse	0	0.18	n/a	1	50	ButtonPress	Neutral	302.0
Control	0.6470999999999999	0.5	n/a	Yes	2.779	479.768	n/a	n/a	GoodResponse	0	n/a	n/a	1	50	Blank	Neutral	n/a
Control	0.6470999999999999	1.45	n/a	Yes	2.779	480.27	n/a	5.0	GoodResponse	0	0.017	480.287	1	50	Feedback	Neutral	n/a
Control	0.6470999999999999	2.779	n/a	Yes	2.779	481.724	n/a	n/a	GoodResponse	0	0.0	n/a	1	50	ISIslide	Neutral	n/a
Control	0.6346	0.25	0.0	No	2.734	484.516	0.016	n/a	NoResponse	0	n/a	n/a	1	51	Cue	Neutral	n/a
Control	0.6346	3.95	0.0	No	2.734	484.766	0.0	n/a	NoResponse	0	n/a	n/a	1	51	Fixation	Neutral	n/a
Control	0.6346	0.21	0.0	No	2.734	488.728	0.012	2.0	NoResponse	0	0.228	488.956	1	51	Target	Neutral	n/a
Control	0.6346	0.49	n/a	No	2.734	488.929	n/a	n/a	NoResponse	0	n/a	n/a	1	51	Blank	Neutral	n/a
Control	0.6346	0.3	0.0	No	2.734	488.956	0.012	2.0	NoResponse	0	0.228	n/a	1	51	ButtonPress	Neutral	308.0
Control	0.6346	1.45	n/a	No	2.734	489.414	n/a	5.0	NoResponse	0	0.044	489.458	1	51	Feedback	Neutral	n/a
Control	0.6346	2.734	n/a	No	2.734	490.868	n/a	n/a	NoResponse	0	0.0	n/a	1	51	ISIslide	Neutral	n/a
Control	0.6225999999999999	0.25	0.0	No	2.624	493.626	0.026	n/a	NoResponse	0	n/a	n/a	1	52	Cue	Neutral	n/a
Control	0.6225999999999999	4.05	0.0	No	2.624	493.877	0.001	n/a	NoResponse	0	n/a	n/a	1	52	Fixation	Neutral	n/a
Control	0.6225999999999999	0.22	0.004	No	2.624	497.922	-0.004	2.0	NoResponse	0	0.287	498.209	1	52	Target	Neutral	n/a
Control	0.6225999999999999	0.48	n/a	No	2.624	498.156	n/a	n/a	NoResponse	0	n/a	n/a	1	52	Blank	Neutral	n/a
Control	0.6225999999999999	0.3	0.004	No	2.624	498.209	-0.004	2.0	NoResponse	0	0.287	n/a	1	52	ButtonPress	Neutral	314.0
Control	0.6225999999999999	1.45	n/a	No	2.624	498.624	n/a	5.0	NoResponse	0	0.006	498.63	1	52	Feedback	Neutral	n/a
Control	0.6225999999999999	2.624	n/a	No	2.624	500.079	n/a	n/a	NoResponse	0	0.0	n/a	1	52	ISIslide	Neutral	n/a
Win2	0.6296	0.25	0.0	Yes	2.93	502.72	0.02	n/a	GoodResponse	1	n/a	n/a	2	53	Cue	Win	n/a
Win2	0.6296	4.05	0.0	Yes	2.93	502.971	0.001	n/a	GoodResponse	1	n/a	n/a	2	53	Fixation	Win	n/a
Win2	0.6296	0.23	0.004	Yes	2.93	507.016	-0.004	2.0	GoodResponse	1	0.196	507.212	2	53	Target	Win	n/a
Win2	0.6296	0.3	0.004	Yes	2.93	507.212	-0.004	2.0	GoodResponse	1	0.196	n/a	2	53	ButtonPress	Win	320.0
Win2	0.6296	0.47	n/a	Yes	2.93	507.25	n/a	n/a	GoodResponse	1	n/a	n/a	2	53	Blank	Win	n/a
Win2	0.6296	1.45	n/a	Yes	2.93	507.718	n/a	5.0	GoodResponse	1	0.032	507.75	2	53	Feedback	Win	n/a
Win2	0.6296	2.93	n/a	Yes	2.93	509.173	n/a	n/a	GoodResponse	1	0.0	n/a	2	53	ISIslide	Win	n/a
Win2	0.6364	0.25	0.0	Yes	2.718	512.132	0.032	n/a	GoodResponse	1	n/a	n/a	3	54	Cue	Win	n/a
Win2	0.6364	3.95	0.0	Yes	2.718	512.382	0.0	n/a	GoodResponse	1	n/a	n/a	3	54	Fixation	Win	n/a
Win2	0.6364	0.24	0.0	Yes	2.718	516.344	0.012	2.0	GoodResponse	1	0.199	516.543	3	54	Target	Win	n/a
Win2	0.6364	0.3	0.0	Yes	2.718	516.543	0.012	2.0	GoodResponse	1	0.199	n/a	3	54	ButtonPress	Win	326.0
Win2	0.6364	0.46	n/a	Yes	2.718	516.578	n/a	n/a	GoodResponse	1	n/a	n/a	3	54	Blank	Win	n/a
Win2	0.6364	1.45	n/a	Yes	2.718	517.029	n/a	5.0	GoodResponse	1	0.038	517.067	3	54	Feedback	Win	n/a
Win2	0.6364	2.718	n/a	Yes	2.718	518.484	n/a	n/a	GoodResponse	1	0.0	n/a	3	54	ISIslide	Win	n/a
